subject,bases,num_bases
adjunctive treatment,adjunct|treatment,2
adjustable rate mortgages,adjust|mortgag|rate,3
adjustable rate mortgages--arm,adjust|arm|mortgag|rate,4
adjustment,adjust,1
adjuvant,adjuv,1
adlerian,adlerian,1
administration (probate law),administr|law|probat,3
administration of justice,administr|justic,2
administrative court,administr|court,2
administrative division,administr|divis,2
administrative expenses,administr|expens,2
administrative law,administr|law,2
administrative services organization,administr|organ|servic,3
administrative support,administr|support,2
admiration,admir,1
admissible evidence,admiss|evid,2
admissions policies,admiss|polici,2
adnexal mass,adnex|mass,2
adobe,adob,1
adolescent development,adolesc|develop,2
adolescent health,adolesc|health,2
adolescent medicine,adolesc|medicin,2
adoption,adopt,1
adoration,ador,1
adornment,adorn,1
adrenal cortex,adren|cortex,2
adrenal cortex hormones,adren|cortex|hormon,3
adrenal function,adren|function,2
adrenal gland,adren|gland,2
adrenal glands,adren|gland,2
adrenal insufficiency,adren|insuffici,2
adrenalectomy,adrenalectomi,1
adrenergic receptors,adrenerg|receptor,2
adrenocortical carcinoma,adrenocort|carcinoma,2
adrenogenital syndrome,adrenogenit|syndrom,2
adsorbents,adsorb,1
adsorption,adsorpt,1
adult abuse & neglect,abus|adult|neglect,3
adult children,adult|child,2
adult day care,adult|care|day,3
adult development,adult|develop,2
adult education,adult|educ,2
adult entertainment,adult|entertain,2
adult foster care,adult|care|foster,3
adult learning,adult|learn,2
adult literacy,adult|literaci,2
adult male,adult|male,2
adult students,adult|student,2
adulterant,adulter,1
adultery,adulteri,1
adults,adult,1
advance directives,advanc|direct,2
advance pricing agreements,advanc|agreement|price,3
advanced driver assistance systems,advanc|assist|driver|system,4
advanced manufacturing,advanc|manufactur,2
advanced manufacturing technologies,advanc|manufactur|technolog,3
advanced materials,advanc|materi,2
advanced placement,advanc|placement,2
advanced placement program,advanc|placement|program,3
advanced practice nurses,advanc|nurs|practic,3
advanced trauma life support,advanc|life|support|trauma,4
advantages,advantag,1
advection,advect,1
adventitia,adventitia,1
adventure,adventur,1
adventure tourism,adventur|tourism,2
adverbial,adverbi,1
adversarial system,adversari|system,2
adversary,adversari,1
adverse childhood experiences,advers|childhood|experi,3
adverse effect,advers|effect,2
adverse outcome pathway,advers|outcom|pathway,3
adverse selection,advers|select,2
adverse weather,advers|weather,2
advertisements,advertis,1
advertisers,advertis,1
advertising,advertis,1
advertising & marketing,advertis|market,2
advertising accounts,account|advertis,2
advertising agencies,advertis|agenc,2
advertising campaign,advertis|campaign,2
advertising campaigns,advertis|campaign,2
advertising design,advertis|design,2
advertising expenditures,advertis|expenditur,2
advertising media,advertis|medium,2
advertising pages,advertis|page,2
advertising rates,advertis|rate,2
advertising research,advertis|research,2
advertising restrictions,advertis|restrict,2
