source,year,n_nodes,n_edges,n_core,n_terminals,pairs,key_edge_traversal,mainpath_len_0.05,mainpath_len_0.1,mainpath_len_0.2,mainpath_0.05,mainpath_0.1,mainpath_0.2,mainpath_0.05_named,mainpath_0.1_named,mainpath_0.2_named
news,2018,7064,24643,1000,1000,499500,1392,32,25,9,24901 -> 14628 -> 2410 -> 17863 -> 16626 -> 3430 -> 16632 -> 28453 -> 4628 -> 23739 -> 1827 -> 12344 -> 12346 -> 28779 -> 20733 -> 728 -> 1276 -> 6535 -> 19252 -> 1472 -> 5523 -> 25714 -> 21114 -> 12695 -> 22850 -> 22851 -> 25680 -> 3654 -> 8751 -> 22663 -> 8750 -> 1998,16626 -> 3430 -> 16632 -> 28453 -> 4628 -> 23739 -> 1827 -> 12344 -> 12346 -> 28779 -> 20733 -> 728 -> 1276 -> 6535 -> 19252 -> 1472 -> 5523 -> 25714 -> 21114 -> 12695 -> 22850 -> 22851 -> 25680 -> 3654 -> 8751,4628 -> 23739 -> 1827 -> 12344 -> 12346 -> 28779 -> 20733 -> 728 -> 1276,speaking -> language -> bilingualism -> neural networks -> microprocessors -> cameras -> microscopes -> vision systems -> cmos -> sensors -> automation -> high school basketball -> high school football -> weather forecasting -> precipitation -> algorithms -> applied mathematics -> cybernetics -> parks & recreation areas -> artificial intelligence -> construction -> subcontractors -> productivity -> housing prices -> robotics -> robots -> students -> career preparation -> employers -> retirement plans -> employees -> bakeries,microprocessors -> cameras -> microscopes -> vision systems -> cmos -> sensors -> automation -> high school basketball -> high school football -> weather forecasting -> precipitation -> algorithms -> applied mathematics -> cybernetics -> parks & recreation areas -> artificial intelligence -> construction -> subcontractors -> productivity -> housing prices -> robotics -> robots -> students -> career preparation -> employers,cmos -> sensors -> automation -> high school basketball -> high school football -> weather forecasting -> precipitation -> algorithms -> applied mathematics
news,2019,7480,26137,1000,1000,499500,1904,14,6,5,4295 -> 22851 -> 17180 -> 1472 -> 9930 -> 6823 -> 14016 -> 1827 -> 22850 -> 12273 -> 19064 -> 728 -> 24839 -> 25254,6823 -> 14016 -> 1827 -> 22850 -> 12273 -> 19064,6823 -> 14016 -> 1827 -> 22850 -> 12273,christmas -> robots -> motion pictures -> artificial intelligence -> festivals -> decision support systems -> inventors -> automation -> robotics -> hernias -> pain -> algorithms -> space telescopes -> stars & galaxies,decision support systems -> inventors -> automation -> robotics -> hernias -> pain,decision support systems -> inventors -> automation -> robotics -> hernias
news,2020,7149,25144,1000,1000,499500,1594,11,10,10,13695 -> 22851 -> 750 -> 22850 -> 1827 -> 24518 -> 5480 -> 728 -> 7768 -> 7053 -> 238,13695 -> 22851 -> 750 -> 22850 -> 1827 -> 24518 -> 5480 -> 728 -> 7768 -> 7053,13695 -> 22851 -> 750 -> 22850 -> 1827 -> 24518 -> 5480 -> 728 -> 7768 -> 7053,integrated curriculum -> robots -> allergens -> robotics -> automation -> social networks -> conservatism -> algorithms -> dna methylation -> deoxyribonucleic acid--dna -> acids,integrated curriculum -> robots -> allergens -> robotics -> automation -> social networks -> conservatism -> algorithms -> dna methylation -> deoxyribonucleic acid--dna,integrated curriculum -> robots -> allergens -> robotics -> automation -> social networks -> conservatism -> algorithms -> dna methylation -> deoxyribonucleic acid--dna
news,2021,6990,24508,1000,1000,499500,3049,16,9,8,4015 -> 10695 -> 28572 -> 728 -> 2785 -> 24518 -> 6535 -> 20512 -> 17180 -> 22851 -> 1827 -> 19344 -> 17863 -> 1472 -> 1603 -> 1600,20512 -> 17180 -> 22851 -> 1827 -> 19344 -> 17863 -> 1472 -> 1603 -> 1600,1600 -> 1603 -> 1472 -> 17180 -> 22851 -> 1827 -> 19344 -> 17863,chargebacks -> fraud -> voter behavior -> algorithms -> body image -> social networks -> cybernetics -> popular culture -> motion pictures -> robots -> automation -> patents -> neural networks -> artificial intelligence -> astronomy -> astronomers,popular culture -> motion pictures -> robots -> automation -> patents -> neural networks -> artificial intelligence -> astronomy -> astronomers,astronomers -> astronomy -> artificial intelligence -> motion pictures -> robots -> automation -> patents -> neural networks
news,2022,6977,24410,1000,1000,499500,2758,5,5,5,17688 -> 15090 -> 1827 -> 19344 -> 18703,17688 -> 15090 -> 1827 -> 19344 -> 18703,17688 -> 15090 -> 1827 -> 19344 -> 18703,nausea -> light -> automation -> patents -> optimization algorithms,nausea -> light -> automation -> patents -> optimization algorithms,nausea -> light -> automation -> patents -> optimization algorithms
news,2023,7560,26328,1000,1000,499500,3568,13,13,5,13654 -> 19122 -> 7213 -> 1472 -> 24518 -> 6017 -> 728 -> 3267 -> 26318 -> 1827 -> 19344 -> 17863 -> 1958,13654 -> 19122 -> 7213 -> 1472 -> 24518 -> 6017 -> 728 -> 3267 -> 26318 -> 1827 -> 19344 -> 17863 -> 1958,26318 -> 1827 -> 19344 -> 17863 -> 1958,insulin -> pancreas -> diabetes -> artificial intelligence -> social networks -> counterterrorism -> algorithms -> business income -> tax returns -> automation -> patents -> neural networks -> back propagation,insulin -> pancreas -> diabetes -> artificial intelligence -> social networks -> counterterrorism -> algorithms -> business income -> tax returns -> automation -> patents -> neural networks -> back propagation,tax returns -> automation -> patents -> neural networks -> back propagation
paper,1990,12577,43806,1000,1000,499500,1241,8,8,5,4075 -> 5695 -> 11128 -> 23590 -> 10486 -> 20742 -> 13089 -> 7386,4075 -> 5695 -> 11128 -> 23590 -> 10486 -> 20742 -> 13089 -> 7386,4075 -> 5695 -> 11128 -> 23590 -> 10486,chemical control -> control (management) -> gene -> selection (genetic algorithm) -> foraging -> predation -> image (mathematics) -> digital image analysis,chemical control -> control (management) -> gene -> selection (genetic algorithm) -> foraging -> predation -> image (mathematics) -> digital image analysis,chemical control -> control (management) -> gene -> selection (genetic algorithm) -> foraging
paper,1991,12638,44039,1000,1000,499500,1054,27,4,4,28816 -> 5695 -> 11128 -> 15622 -> 10420 -> 13089 -> 12099 -> 20520 -> 21427 -> 19743 -> 12760 -> 20403 -> 14469 -> 1806 -> 15434 -> 22558 -> 7258 -> 3751 -> 18689 -> 698 -> 5490 -> 3344 -> 1479 -> 2818 -> 4457 -> 15734 -> 7757,28816 -> 5695 -> 11128 -> 15622,28816 -> 5695 -> 11128 -> 15622,weed -> control (management) -> gene -> machine translation -> font -> image (mathematics) -> hearing loss -> population -> psychosocial -> perspective (graphical) -> human rights -> politics -> knowledge representation and reasoning -> automated reasoning -> logic programming -> resolution (logic) -> diastereomer -> catalysis -> optically active -> alcohol -> consistency (knowledge bases) -> cache -> artificial neural network -> boltzmann constant -> class (philosophy) -> malocclusion -> division (mathematics),weed -> control (management) -> gene -> machine translation,weed -> control (management) -> gene -> machine translation
paper,1992,12969,45319,1000,1000,499500,960,37,11,7,13393 -> 11401 -> 17702 -> 6822 -> 6821 -> 23838 -> 24661 -> 24651 -> 16631 -> 23128 -> 23591 -> 23590 -> 11128 -> 1010 -> 22558 -> 20403 -> 11283 -> 4389 -> 19743 -> 664 -> 18041 -> 13089 -> 3457 -> 22151 -> 1479 -> 29074 -> 21037 -> 11754 -> 11745 -> 58 -> 4457 -> 14703 -> 14708 -> 25624 -> 5695 -> 24454 -> 12767,29074 -> 21037 -> 11754 -> 11745 -> 58 -> 4457 -> 14703 -> 14708 -> 25624 -> 5695 -> 24454,11754 -> 11745 -> 58 -> 4457 -> 14703 -> 14708 -> 25624,inertial measurement unit -> global positioning system -> navigation system -> decision support system -> decision rule -> set (abstract data type) -> software portability -> software -> microscope -> sample (material) -> selection bias -> selection (genetic algorithm) -> gene -> angstrom -> resolution (logic) -> politics -> george (robot) -> citation -> perspective (graphical) -> airframe -> noise reduction -> image (mathematics) -> cancer -> rectum -> artificial neural network -> work in process -> process (computing) -> group decision-making -> group (periodic table) -> abelian group -> class (philosophy) -> latent class model -> latent variable -> structural equation modeling -> control (management) -> social control -> human sexuality,work in process -> process (computing) -> group decision-making -> group (periodic table) -> abelian group -> class (philosophy) -> latent class model -> latent variable -> structural equation modeling -> control (management) -> social control,group decision-making -> group (periodic table) -> abelian group -> class (philosophy) -> latent class model -> latent variable -> structural equation modeling
paper,1993,13063,45628,1000,1000,499500,1034,21,10,3,1966 -> 13089 -> 17137 -> 11181 -> 23838 -> 6701 -> 12953 -> 10031 -> 5695 -> 1406 -> 17749 -> 17265 -> 22845 -> 24741 -> 13640 -> 19743 -> 9097 -> 12044 -> 2278 -> 21668 -> 28698,1966 -> 13089 -> 17137 -> 11181 -> 23838 -> 6701 -> 12953 -> 10031 -> 5695 -> 1406,1966 -> 13089 -> 17137,background noise -> image (mathematics) -> morphology (biology) -> generative grammar -> set (abstract data type) -> data set -> hyperspectral imaging -> filter (signal processing) -> control (management) -> arms control -> negotiation -> multi-agent system -> robot -> sonar -> instructional design -> perspective (graphical) -> equity (law) -> health care -> benchmarking -> quality (philosophy) -> water quality,background noise -> image (mathematics) -> morphology (biology) -> generative grammar -> set (abstract data type) -> data set -> hyperspectral imaging -> filter (signal processing) -> control (management) -> arms control,background noise -> image (mathematics) -> morphology (biology)
