source,year,n_nodes_active,n_edges_total,total_weight,target_edges_3N,implied_alpha,retention_rate,backbone_nodes,node_coverage,mean_degree_backbone,weight_share_retained,n_components,lcc_share,mst_added_edges,mst_added_share,n_components_with_mst,lcc_share_with_mst,union_nodes,union_node_coverage,union_edges,mean_degree_union,weight_share_union,n_edges_alpha_lt_0.05,retention_alpha_0.05,mean_degree_alpha_0.05,sens10_target_edges,sens10_implied_alpha,sens10_jaccard_vs_3N,sens10_mean_degree,jaccard_alpha_vs_topweight
news,2000,4667,148091,63670.51098142192,14001,0.08006522144868544,0.09454322004713318,2421,0.5187486608099422,11.566294919454771,0.6215634980128388,19,0.9838909541511772,2316,0.16541675594600386,2,0.999571459181487,4667,1.0,16317,6.992500535676023,0.6305476189726307,11143,0.07524427547926613,4.775230340689951,14809,0.08897910782401691,0.945438584644473,6.3462609813584745,0.6876808100289296
news,2001,4601,142375,58894.60586147383,13803,0.08547697641150626,0.09694820017559262,2414,0.5246685503151489,11.43579121789561,0.6086308007123702,18,0.9830157415078707,2276,0.1648916902122727,1,1.0,4601,1.0,16079,6.989350141273636,0.6182199338738203,10500,0.07374890254609306,4.564225168441643,14238,0.09032391241241028,0.9694479561736199,6.189089328406868,0.6825745108795026
news,2002,4707,140103,51464.39731887728,14121,0.09784252886954382,0.100790132973598,2485,0.5279371149352029,11.364989939637827,0.5857538380225445,18,0.9839034205231388,2316,0.16401104737624814,4,0.9985128531973656,4707,1.0,16437,6.984066284257489,0.5965753024947439,9808,0.07000563870866434,4.1674102400679836,14010,0.09623115465762093,0.9921393669003612,5.952836201402167,0.6828745084018591
news,2003,4809,136113,49235.2065564692,14427,0.10715739303552523,0.10599281479359061,2676,0.5564566437928883,10.782511210762332,0.5828778442619635,14,0.9884155455904334,2231,0.15464060442226382,2,0.9995841131212311,4809,1.0,16658,6.9278436265335825,0.5936518507189206,9317,0.06845047864641879,3.8748180494905387,13611,0.09804480069214855,0.9434393844874194,5.660636306924516,0.669501822600243
news,2004,5082,159405,62030.45389585942,15246,0.09028121236943444,0.09564317304977886,2721,0.5354191263282172,11.206174200661522,0.5836737726796444,18,0.9871370819551636,2454,0.1609602518693428,1,1.0,5082,1.0,17700,6.965761511216057,0.5936504323034391,11149,0.06994134437439227,4.3876426603699334,15940,0.09727187682616881,0.9564617314930991,6.273120818575364,0.6775968309859155
news,2005,5231,163393,63555.83845367655,15693,0.09039511350064361,0.09604450619059568,2781,0.5316383100745555,11.28586839266451,0.5829543382378355,16,0.9884933477166487,2529,0.16115465494169376,1,1.0,5231,1.0,18222,6.966927929650162,0.5926897475476504,11450,0.07007644146322058,4.3777480405276235,16339,0.09647374977376526,0.9604626966154599,6.246989103421908,0.6729385427216034
news,2006,5257,161862,61321.48337565735,15771,0.09187816497749463,0.09743485191088705,2887,0.5491725318622789,10.925528229996536,0.5702964605586291,22,0.9837201246969172,2466,0.15636294464523492,3,0.9992391097584173,5257,1.0,18237,6.938177667871409,0.5808719203722547,11390,0.07036858558525164,4.333269925813202,16186,0.09561267317396836,0.974360558507352,6.1578847251284,0.680716150690041
news,2007,5989,241710,68614.58685588837,17967,0.054637504723548176,0.07433287824252204,3131,0.522791784939055,11.476844458639412,0.5119810910130229,18,0.9875439156818908,2952,0.16430121890131907,2,0.9996660544331274,5989,1.0,20919,6.985807313407914,0.5219761372292387,17143,0.07092383434694469,5.7248288528969775,24171,0.09264919873157187,0.7433287824252203,8.071798296877608,0.6744641192917055
news,2008,6187,290010,80041.94134991989,18561,0.03908929746357501,0.06400124133650564,3105,0.5018587360594795,11.955555555555556,0.48695352193294145,14,0.991304347826087,3170,0.17078821184203438,1,1.0,6187,1.0,21731,7.024729271052206,0.4962537298136828,20795,0.07170442398537981,6.722159366413448,29001,0.09142041950619105,0.6400124133650564,9.374818167124616,0.6911302446357797
news,2009,6004,246228,68527.20867268369,18012,0.05626912216634656,0.07315171304644476,3120,0.519653564290473,11.546153846153846,0.48411862151407936,20,0.9871794871794872,2976,0.16522318454363757,2,0.9996668887408394,6004,1.0,20988,6.991339107261825,0.49426271198438126,16925,0.0687371054469841,5.637908061292472,24623,0.09599155699851485,0.7315111887259879,8.20219853431046,0.6937326625605341
news,2010,5617,190986,60035.03463738412,16851,0.07745122576798556,0.08823159812761144,2989,0.5321345914189068,11.275342924054868,0.5352471120991737,15,0.9899631983941117,2714,0.16105869087887958,2,0.9996439380452199,5617,1.0,19565,6.9663521452732775,0.5455130811686578,13309,0.0696857361272554,4.738828556168773,19099,0.09492117343991363,0.8822975024870412,6.800427274345736,0.6820722699141545
news,2011,5545,177937,59379.286990106106,16635,0.0873542068501522,0.0934881446804206,2975,0.5365193868349865,11.183193277310924,0.5414222341323802,10,0.9932773109243698,2659,0.15984370303576795,2,0.9996393146979261,5545,1.0,19294,6.959062218214608,0.5522715368128036,12321,0.06924360869296436,4.444003606853021,17794,0.09739723105169584,0.9348656850623805,6.418034265103697,0.6860936549766876
news,2012,5737,184962,61745.25058216788,17211,0.0841255065880486,0.09305154572290525,3106,0.5413979431758759,11.082421120412105,0.539128396961317,12,0.9925949774629749,2735,0.15890999941897624,1,1.0,5737,1.0,19946,6.953459996513858,0.5503151505119549,12917,0.06983596630659271,4.503050374760328,18496,0.09419215856020942,0.9305255190311419,6.447969321945267,0.6718636164942445
news,2013,5894,187886,65613.15911152214,17682,0.08382393440732402,0.09411025834814728,3162,0.5364777740074652,11.184060721062618,0.5479423648105933,17,0.9895635673624289,2848,0.16106775251668362,2,0.999151679674245,5894,1.0,20530,6.966406515100102,0.5592776606126518,13277,0.07066519059429655,4.505259586019681,18789,0.09313470902652464,0.941082548299537,6.375636240244316,0.6676412336131283
news,2014,5916,187546,67208.68474668637,17748,0.085275278139503,0.09463278342380002,3162,0.5344827586206896,11.225806451612904,0.5512707033569136,14,0.9905123339658444,2862,0.1612576064908722,2,0.9996619337390128,5916,1.0,20610,6.967545638945233,0.5624083860832979,13365,0.07126251692918004,4.5182555780933065,18755,0.09346390071361613,0.9463076512929885,6.340432724814064,0.6768707482993197
news,2015,5944,190013,71311.72553921118,17832,0.08392606568610897,0.09384621052243794,3199,0.5381897711978466,11.14848390121913,0.5583097557702942,10,0.9943732416380119,2852,0.15993719156572453,1,1.0,5944,1.0,20684,6.959623149394347,0.5690714426353363,13472,0.07090041207706842,4.532974427994616,19001,0.09313985945082803,0.9384769222672491,6.393337819650068,0.6738946775556182
news,2016,6346,224160,87069.92765158042,19038,0.06705425023534248,0.0849304068522484,3389,0.534037188780334,11.235172617291237,0.5591689947920473,11,0.993803481853054,3042,0.15978569177434604,3,0.9993696816892531,6346,1.0,22080,6.958714150646077,0.5688433174065447,16368,0.07301927194860813,5.158525055152852,22416,0.08890162355672684,0.849304068522484,7.06460762685156,0.6683901498554027
news,2017,7235,297008,122805.07666179724,21705,0.04757734962961326,0.07307883962721543,3698,0.5111264685556324,11.738777717685235,0.5649799204112258,12,0.9937804218496484,3609,0.16627505183137525,2,0.9997235659986178,7235,1.0,25314,6.997650310988251,0.5733364050269141,22201,0.07474882831438884,6.137111264685556,29701,0.08692488783074696,0.7307834753038618,8.21036627505183,0.6622630672027571
news,2018,7064,287323,116526.19453762658,21192,0.050129832929226265,0.07375671282841958,3682,0.5212344280860702,11.51113525258012,0.5649155102032879,9,0.9956545355784899,3451,0.16284446961117402,1,1.0,7064,1.0,24643,6.977066817667044,0.5735667823782407,21171,0.07368362435307999,5.9940543601359,28732,0.0888140854968982,0.7375748294584435,8.134767836919591,0.6723484848484849
news,2019,7480,357766,159006.09579491988,22440,0.03181133478165323,0.06272256167439053,3822,0.5109625668449198,11.7425431711146,0.5685358828852188,5,0.9979068550497122,3697,0.1647504456327986,1,1.0,7480,1.0,26137,6.988502673796791,0.5757800748329711,27150,0.07588759133064629,7.259358288770054,35777,0.08636386763686497,0.6272186041311457,9.566042780748663,0.6625300981663271
news,2020,7149,325774,145139.21105018258,21447,0.03464102191704282,0.06583398306801648,3478,0.48650160861658975,12.332949971247844,0.5792849546990241,6,0.9968372627947096,3697,0.17237842122441366,1,1.0,7149,1.0,25144,7.034270527346482,0.5865968324383489,25241,0.07748009356179437,7.061407189816758,32577,0.08450042167251046,0.6583479141725758,9.113722198908938,0.6767913685938782
news,2021,6990,353023,160135.73652136326,20970,0.02569517919842455,0.059401228815119694,3496,0.500143061516452,11.996567505720824,0.566845101687174,10,0.9948512585812357,3538,0.1687172150691464,1,1.0,6990,1.0,24508,7.012303290414878,0.5734331663260874,27677,0.0783999909354348,7.919027181688126,35302,0.08201363228558206,0.5940173361282647,10.100715307582261,0.6574454631678786
news,2022,6977,360440,153605.1044756472,20931,0.02582646139689336,0.058070691377205635,3534,0.5065214275476566,11.845500848896435,0.5508560169287899,5,0.9971703452178834,3479,0.16621279441976017,1,1.0,6977,1.0,24410,6.997276766518561,0.5577679595084837,27665,0.07675341249583842,7.93034255410635,36044,0.08484642506505931,0.5807069137720564,10.33223448473556,0.6590837032339886
news,2023,7560,440774,204270.2989796102,22680,0.01756273693627458,0.05145494062716948,3946,0.521957671957672,11.495184997465788,0.5579701701311972,7,0.9969589457678661,3648,0.16084656084656085,1,1.0,7560,1.0,26328,6.965079365079365,0.563955818792773,34128,0.07742743446755027,9.028571428571428,44077,0.0847462549894489,0.5145540758218572,11.66058201058201,0.64604274775919
