source,year,rows,docs,unique_subjects,docs_with_ge2_subjects,share_docs_with_ge2_subjects,nnz,unique_edges,density,total_weight,mean_edge_weight,max_edge_weight,path
news,2002,103597,15250,4821,14771,0.9685901639344262,281154,140577,0.0002375550458920162,103118.03125,0.3667669892311096,594.9384155273438,/root/project/outputs/networks/news_2002_adj.npz
news,2003,99081,15019,4908,14576,0.9705040282309075,273076,136538,0.0002307297129402684,98638.046875,0.36121079325675964,569.0782470703125,/root/project/outputs/networks/news_2003_adj.npz
news,2004,124957,19239,5215,18596,0.9665783044856802,319826,159913,0.00027023012337530313,124314.046875,0.3886926770210266,739.2962646484375,/root/project/outputs/networks/news_2004_adj.npz
news,2005,128013,19850,5352,19186,0.9665491183879094,327700,163850,0.00027688309089969805,127349.0546875,0.38861456513404846,715.1250610351562,/root/project/outputs/networks/news_2005_adj.npz
news,2006,123594,19815,5402,19113,0.9645722937168811,324816,162408,0.000274446316916925,122892.015625,0.37834346294403076,555.6172485351562,/root/project/outputs/networks/news_2006_adj.npz
news,2007,138157,18883,6155,18287,0.9684372186622888,485878,242939,0.0004105322015262847,137561.03125,0.283118337392807,404.0716247558594,/root/project/outputs/networks/news_2007_adj.npz
news,2008,161316,19389,6400,18985,0.9791634431894373,585942,292971,0.0004950791335000027,160912.0,0.27462100982666016,255.5945587158203,/root/project/outputs/networks/news_2008_adj.npz
news,2009,137943,17686,6154,17202,0.9726337215876965,495370,247685,0.0004185522634695863,137459.03125,0.27748754620552063,264.2763977050781,/root/project/outputs/networks/news_2009_adj.npz
news,2010,120974,17273,5737,16588,0.9603427314305564,383408,191704,0.0003239523714240813,120289.046875,0.31373631954193115,289.8541259765625,/root/project/outputs/networks/news_2010_adj.npz
news,2011,119790,17972,5666,17218,0.9580458490985978,357136,178568,0.00030175440815243996,119036.03125,0.3333072364330292,288.575927734375,/root/project/outputs/networks/news_2011_adj.npz
news,2012,124210,18476,5840,17963,0.9722342498376272,370962,185481,0.0003134363904984248,123697.0390625,0.33344924449920654,257.007568359375,/root/project/outputs/networks/news_2012_adj.npz
news,2013,132023,20196,6040,19730,0.9769261239849475,377464,188732,0.0003189301160310151,131557.0,0.348528653383255,272.6771545410156,/root/project/outputs/networks/news_2013_adj.npz
news,2014,135319,21074,6066,20491,0.9723355793869223,376646,188323,0.0003182389644644726,134736.015625,0.3577258288860321,271.59844970703125,/root/project/outputs/networks/news_2014_adj.npz
news,2015,143821,23576,6055,22618,0.9593654563963353,381372,190686,0.00032223209686481433,142863.03125,0.37460270524024963,291.7227783203125,/root/project/outputs/networks/news_2015_adj.npz
news,2016,175740,29532,6452,28183,0.9543207368278478,449602,224801,0.00037988157288582866,174390.984375,0.3878786265850067,377.5871887207031,/root/project/outputs/networks/news_2016_adj.npz
news,2017,248517,39748,7753,38192,0.9608533762705042,603490,301745,0.0005099059399666121,246960.96875,0.4092214107513428,527.4225463867188,/root/project/outputs/networks/news_2017_adj.npz
news,2018,236098,39504,7425,37304,0.944309437019036,580182,290091,0.0004902123449629802,233898.0,0.4031459391117096,512.9151611328125,/root/project/outputs/networks/news_2018_adj.npz
news,2019,321272,51080,8011,49080,0.9608457321848082,723832,361916,0.0006115863333906325,319271.90625,0.44108590483665466,959.3873901367188,/root/project/outputs/networks/news_2019_adj.npz
news,2020,292530,44032,7530,42738,0.9706122819767442,657968,328984,0.0005559359583554853,291235.96875,0.4426294267177582,832.7238159179688,/root/project/outputs/networks/news_2020_adj.npz
news,2021,322097,48854,7176,47491,0.9721005444794695,709500,354750,0.0005994768171905272,320733.875,0.4520564079284668,592.59375,/root/project/outputs/networks/news_2021_adj.npz
news,2022,309331,47039,7153,45543,0.9681966028189375,725208,362604,0.000612748955096699,307834.90625,0.4244782328605652,845.6469116210938,/root/project/outputs/networks/news_2022_adj.npz
news,2023,412805,66383,7883,63419,0.9553500143108928,890020,445010,0.000752003321826516,409840.78125,0.4604853093624115,1374.297607421875,/root/project/outputs/networks/news_2023_adj.npz
