source,K,anchor,anchor_name,year,pp,rank,rank_norm
news,8,4,interoperability - software,2007,599.21106448397,113.256,0.018910669560861577
news,8,4,interoperability - software,2008,584.7091254151715,103.98628571428571,0.016807222517259694
news,8,4,interoperability - software,2009,565.0793486934402,100.06657142857144,0.016666650804225754
news,8,4,interoperability - software,2010,582.4350225664707,99.11557142857143,0.017645642056003462
news,8,4,interoperability - software,2011,555.1549309885943,97.3682857142857,0.017559654772639443
news,8,4,interoperability - software,2012,541.262012883118,94.396,0.01645389576433676
news,8,4,interoperability - software,2013,555.3862775928286,91.53328571428571,0.015529909350913761
news,8,4,interoperability - software,2014,552.8876436946789,90.30414285714285,0.015264391963682025
news,8,4,interoperability - software,2015,545.652413116758,89.46457142857143,0.015051240146125744
news,8,4,interoperability - software,2016,566.3621824751565,91.382,0.014399936968168926
news,8,4,interoperability - software,2017,587.6097174309738,90.78757142857144,0.012548385822884785
news,8,4,interoperability - software,2018,570.0334839855307,89.53771428571429,0.012675214366607346
news,8,4,interoperability - software,2019,633.0347853981176,102.64542857142857,0.013722650878533232
news,8,4,interoperability - software,2020,583.9440482542495,97.72728571428571,0.013670063745179145
news,8,4,interoperability - software,2021,604.7039250021742,96.62085714285715,0.013822726343756387
news,8,4,interoperability - software,2022,579.0310579167716,95.323,0.013662462376379534
news,8,4,interoperability - software,2023,612.2804263737659,95.10986804360297,0.012580670376137961
news,8,5,medical imaging - software,1990,1591.6276553143982,511.6386554621849,0.22638878560273668
news,8,5,medical imaging - software,1991,,,
news,8,5,medical imaging - software,1992,1542.877142515305,568.1665913200724,0.24638620612318834
news,8,5,medical imaging - software,1993,1281.0053195217488,491.5577922077922,0.2089956599522926
news,8,5,medical imaging - software,1994,,,
news,8,5,medical imaging - software,1995,1047.7256881954313,442.6706152758133,0.17735200932524572
news,8,5,medical imaging - software,1996,876.3143937649356,314.51552795031057,0.12510561970974962
news,8,5,medical imaging - software,1997,876.988611453555,319.42857142857144,0.12257427913605964
news,8,5,medical imaging - software,1998,1027.7764712732394,369.9545980335454,0.08508615410155138
news,8,5,medical imaging - software,1999,931.4324508016381,327.71975806451616,0.07127441454208702
news,8,5,medical imaging - software,2000,881.3026497442576,295.31963207818336,0.06327825842686595
news,8,5,medical imaging - software,2001,850.3938553218833,294.5741428571428,0.06402393889527122
news,8,5,medical imaging - software,2002,836.5968856485848,266.84485714285717,0.056691068014203774
news,8,5,medical imaging - software,2003,873.6395316244468,265.94628571428575,0.05530178534295814
news,8,5,medical imaging - software,2004,784.7979978663961,221.764,0.04363715072805982
news,8,5,medical imaging - software,2005,776.3814589513076,212.82014285714288,0.040684408881120786
news,8,5,medical imaging - software,2006,818.4209917464684,230.46742857142857,0.043840104350661706
news,8,5,medical imaging - software,2007,866.9212179864924,259.9614285714286,0.04340648331464828
news,8,5,medical imaging - software,2008,826.6729757460665,212.1402857142857,0.03428806945438593
news,8,5,medical imaging - software,2009,801.2667069194555,203.3932857142857,0.033876296754544594
news,8,5,medical imaging - software,2010,773.1972380343623,175.10585714285713,0.031174266893868104
news,8,5,medical imaging - software,2011,727.5550968016682,162.85128571428572,0.029369032590493366
