source,K,year,pp_mean,pp_sd,pp_lo,pp_hi,rank_mean,rank_sd,rank_lo,rank_hi,rank_norm_mean,rank_norm_sd,rank_norm_lo,rank_norm_hi,n_anchor
news,6,2002,683.7790927948929,99.77294484672578,616.7507164055783,750.8074691842075,185.6587918382219,57.64841982304209,146.9300564271923,224.3875272492515,0.03944312552331036,0.012247380459537304,0.031215223375226746,0.04767102767139398,11.0
news,6,2003,715.7971236147588,105.52305714250505,644.9057692223952,786.6884780071224,180.00138181818184,54.48318614533879,143.3990793257672,216.6036843105965,0.037430106429233063,0.011329421115687001,0.029818897759568967,0.04504131509889716,11.0
news,6,2004,671.0469715834106,103.29064045784764,601.6553751266965,740.4385680401247,175.6861818181818,50.55703321196406,141.7215047560332,209.65085888033042,0.034570283710779574,0.009948255256191273,0.027886954890994332,0.041253612530564816,11.0
news,6,2005,666.1710356671078,109.381010125168,592.6878731947936,739.6541981394221,169.5865818181818,53.85191577379244,133.40837253192072,205.76479110444288,0.03241953389756869,0.010294765011239236,0.025503416656838224,0.03933565113829916,11.0
news,6,2006,680.5189639855417,102.55604564023913,611.620875042352,749.4170529287314,160.45583636363634,49.618308881929316,127.12180288744219,193.7898698398305,0.030522320023518425,0.009438521758023457,0.024181434827362035,0.036863205219674816,11.0
news,6,2007,700.0038065547874,119.90212154239755,619.4524652571279,780.5551478524469,166.8306545454545,57.845903717866896,127.96924764864809,205.69206144226092,0.02785617875195434,0.009658691554160444,0.02136738147414395,0.03434497602976473,11.0
news,6,2008,696.517261730749,114.94564300849085,619.2957280201726,773.7387954413255,156.6992909090909,48.70104613713045,123.98148292970578,189.41709888847603,0.0253271845658786,0.007871512225170591,0.020039030698190685,0.030615338433566515,11.0
news,6,2009,685.7314922358329,110.98000978431479,611.1741071757788,760.288877295887,155.12692727272727,45.90633055205112,124.28663477036406,185.96721977509048,0.02583726303676337,0.0076459577868173085,0.02070063870259228,0.03097388737093446,11.0
news,6,2010,700.2371589936691,109.73841184233059,626.5138907806959,773.9604272066424,152.34367272727272,43.239995717878855,123.29464833992199,181.39269711462345,0.027121892954828686,0.007698058699996236,0.021950266750920776,0.03229351915873659,11.0
news,6,2011,652.8498030127566,94.43305617943147,589.4088126429515,716.2907933825618,140.70487272727271,35.41978437340044,116.90953780701092,164.50020764753452,0.02537508976145586,0.006387697813056887,0.021083775979623253,0.029666403543288467,11.0
news,6,2012,648.6845628088703,100.89805146807865,580.9003295065418,716.4687961111988,143.293,42.47112635341804,114.76050908005834,171.82549091994167,0.02497699145895067,0.007403020106923137,0.02000357487886671,0.029950408039034628,11.0
news,6,2013,670.9096094620858,108.3504330288281,598.1187981037715,743.7004208204,140.8265090909091,43.98619873827368,111.27617869328971,170.37683948852847,0.023893198013388038,0.007462877288475346,0.018879568831572734,0.028906827195203343,11.0
news,6,2014,663.7825696241025,105.60165213833089,592.8384143950931,734.7267248531119,137.74303636363635,38.82812871966077,111.65794455530744,163.82812817196526,0.023283136640236034,0.006563240148691814,0.018873891912661846,0.027692381367810222,11.0
news,6,2015,672.1612926848895,115.48759694765502,594.5756693638905,749.7469160058886,145.11085454545457,50.08483530340025,111.4634043547197,178.75830473618944,0.024412997063501776,0.00842611630272548,0.018752255106783255,0.030073739020220296,11.0
news,6,2016,673.5245852878402,99.96577637794802,606.366662913145,740.6825076625354,137.30025454545455,36.37119368490299,112.86575415273266,161.73475493817645,0.02163571612755351,0.005731357340829341,0.01778533787468211,0.025486094380424908,11.0
news,6,2017,711.2648147062888,116.86361314104511,632.7547711281746,789.774858284403,141.98898181818186,45.63298487212552,111.33232544229153,172.64563819407218,0.019625291198090093,0.0063072543016068445,0.015388020102597304,0.02386256229358288,11.0
news,6,2018,687.1427614780868,93.15195077314993,624.5624294310218,749.7230935251517,136.29187272727273,33.05602142645393,114.0845353623246,158.49921009222086,0.019293866467620716,0.004679504731944216,0.01615013241256011,0.022437600522681324,11.0
news,6,2019,693.7748097499228,91.76552906128985,632.1258884823997,755.423731017446,134.7543645472764,30.93857608565231,113.9695463182031,155.5391827763497,0.018015289377978125,0.004136173273482929,0.015236570363396134,0.020794008392560116,11.0
news,6,2020,662.1219390736377,97.8590747200741,596.3793181304167,727.8645600168587,138.5405272727273,36.33725888002811,114.12882459212412,162.9522299533305,0.019379007871412404,0.005082844996506939,0.0159643061396173,0.022793709603207507,11.0
news,6,2021,683.7863117413667,91.40918886496607,622.3767830750996,745.1958404076338,133.61602273168984,31.503030275440796,112.45199901814587,154.7800464452338,0.01911531083429039,0.0045068712840401716,0.016087553507603127,0.022143068160977653,11.0
