min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,2019,1,8004,361916,2504,0.31284357821089454,873,0.07876184048015189,0.4166075064324117,0.6174121405750799
0.0,1.0,2020,1,7525,328984,2252,0.29926910299003323,784,0.0767918156034186,0.4187751177161702,0.5754884547069272
0.0,1.0,2021,1,7175,354750,2162,0.3013240418118467,713,0.08178819933234117,0.416563835149898,0.5809435707678076
0.0,1.0,2022,1,7151,362604,2171,0.30359390295063626,747,0.08361910625830507,0.4117562360813653,0.5610317825886688
0.0,1.0,2023,1,7883,445010,2258,0.28643917290371684,644,0.08892543076834968,0.41487195904492624,0.5752878653675819
0.0,1.0,1990,2,2434,43851,857,0.35209531635168445,237,0.06908171976542957,0.37558608922505266,
0.0,1.0,1991,2,1664,15338,726,0.4362980769230769,149,0.055950185551988704,0.35800333885646135,0.6955922865013774
0.0,1.0,1992,2,2392,39561,876,0.36622073578595316,237,0.05764579554221138,0.38309761347178783,0.75
0.0,1.0,1993,2,2437,38124,909,0.3729995896594173,230,0.06714301793215624,0.37370203628315,0.6556655665566556
0.0,1.0,1994,2,2642,46871,917,0.3470855412566238,217,0.07537617925790444,0.381035263603354,0.6543075245365322
0.0,1.0,1995,2,2658,41287,896,0.3370955605718585,242,0.0744105747767857,0.3769464320486891,0.6595982142857143
0.0,1.0,1996,2,2660,35193,914,0.343609022556391,234,0.08124769570359444,0.36114948998743945,0.661925601750547
0.0,1.0,1997,2,2785,44960,1019,0.3658886894075404,275,0.08580541834679847,0.34742527969637643,0.718351324828263
0.0,1.0,1998,2,4393,126324,1516,0.34509446847256997,528,0.06641992885039785,0.4082545214619998,0.7618733509234829
0.0,1.0,1999,2,4660,138929,1535,0.3293991416309013,517,0.06560536451315131,0.41417184995789286,0.6188925081433225
0.0,1.0,2000,2,4773,148599,1674,0.3507228158390949,571,0.058329729120186594,0.4155766961326882,0.6194743130227001
0.0,1.0,2001,2,4686,142828,1610,0.343576611182245,535,0.062107943366382486,0.41306593859946245,0.5944099378881987
0.0,1.0,2002,2,4798,140577,1764,0.3676531888286786,561,0.07014438428432598,0.4058069289712588,0.6190476190476191
0.0,1.0,2003,2,4886,136538,1648,0.3372902169463774,523,0.07442383825054197,0.40088784897909613,0.6007281553398058
0.0,1.0,2004,2,5191,159913,1788,0.34444230398767095,605,0.0721401438373647,0.40758908964872376,0.6152125279642058
0.0,1.0,2005,2,5330,163850,1866,0.350093808630394,631,0.07090439971096704,0.4068825554010587,0.6055734190782422
0.0,1.0,2006,2,5376,162408,1919,0.35695684523809523,660,0.07758486553243789,0.4028421549278852,0.597186034392913
0.0,1.0,2007,2,6124,242939,2116,0.34552580013063355,673,0.09121697678324478,0.3960409499053027,0.6172022684310019
0.0,1.0,2008,2,6388,292971,2236,0.35003130870381965,633,0.0925840291089698,0.3934902386675734,0.5867620751341682
0.0,1.0,2009,2,6142,247685,2139,0.3482578964506675,648,0.09470876469650984,0.3916220134551384,0.5614773258532024
0.0,1.0,2010,2,5716,191704,1957,0.34237228831350597,613,0.08916095647635192,0.39613338656452113,0.5784363822176801
0.0,1.0,2011,2,5647,178568,1909,0.33805560474588275,648,0.08751383331856132,0.39450791690822634,0.5662650602409638
0.0,1.0,2012,2,5826,185481,1940,0.33299004462753173,603,0.09089063662450843,0.39535009269985083,0.5907216494845361
0.0,1.0,2013,2,6028,188732,1909,0.31668878566688785,606,0.09918417377803741,0.3959898733545214,0.5861707700366684
0.0,1.0,2014,2,6058,188323,1984,0.3275008253549026,640,0.09333539281997918,0.39723518430491106,0.5997983870967742
0.0,1.0,2015,2,6044,190686,2032,0.33620119126406356,636,0.08968656999813998,0.39880200267676535,0.6003937007874016
0.0,1.0,2016,2,6445,224801,2060,0.31962761830876646,704,0.08676736732962581,0.4031780826793016,0.6058252427184466
0.0,1.0,2017,2,7748,301745,2433,0.31401652039235933,784,0.07894144241166762,0.4130155542908577,0.6407727085902178
0.0,1.0,2018,2,7419,290091,2300,0.3100148267960642,799,0.08595879017013233,0.4101148220555505,0.5960869565217392
0.0,1.0,2019,2,8004,361916,2484,0.3103448275862069,797,0.08037494716588744,0.41658864910653304,0.6187600644122383
0.0,1.0,2020,2,7525,328984,2259,0.30019933554817274,831,0.07577794669533955,0.418849697319386,0.5830013280212483
0.0,1.0,2021,2,7175,354750,2114,0.2946341463414634,661,0.08527597697558913,0.4165657370241261,0.5842005676442763
0.0,1.0,2022,2,7151,362604,2195,0.30695007691231996,784,0.08163697780729659,0.4118096965810339,0.5699316628701594
0.0,1.0,2023,2,7883,445010,2326,0.2950653304579475,792,0.08271814598737662,0.4149357569594853,0.5932932072227
0.0,1.0,1990,3,2434,43851,878,0.3607230895645029,224,0.06862251648756496,0.3753712361091182,
0.0,1.0,1991,3,1664,15338,768,0.46153846153846156,161,0.04131062825520833,0.2733886173474331,0.7083333333333333
0.0,1.0,1992,3,2392,39561,867,0.3624581939799331,228,0.05870379904455168,0.381403914910498,0.7358708189158016
0.0,1.0,1993,3,2437,38124,914,0.3750512925728354,229,0.06380447117295272,0.37347530928113026,0.6728665207877462
0.0,1.0,1994,3,2642,46871,967,0.3660105980317941,242,0.07031950969372969,0.3809521151543212,0.671147880041365
0.0,1.0,1995,3,2658,41287,887,0.33370955605718583,249,0.07700227131470615,0.3770635462990868,0.6403607666290868
0.0,1.0,1996,3,2660,35193,920,0.3458646616541353,218,0.08460538752362948,0.36099549285622323,0.6608695652173913
0.0,1.0,1997,3,2785,44960,1034,0.3712746858168761,279,0.0872052347833244,0.3476129740711025,0.718568665377176
0.0,1.0,1998,3,4393,126324,1513,0.34441156385158206,509,0.06740480934347794,0.40832471539090803,0.7587574355584931
0.0,1.0,1999,3,4660,138929,1581,0.3392703862660944,560,0.06213531096060468,0.4141153978018692,0.6337760910815939
0.0,1.0,2000,3,4773,148599,1605,0.33626649905719674,520,0.0628685668811444,0.4156695830852622,0.6031152647975078
