min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0,0.1,2020,0,7498,316058,2535,0.33809015737530007,789,0.08406412785111009,0.4086373246513936,0.5893491124260355,0.011245113320512699
0.0,0.1,2021,0,7162,341953,2363,0.32993577213068975,660,0.09424512367900605,0.40609695379116395,0.5590351248413035,0.013334858863680332
0.0,0.1,2022,0,7135,349726,2374,0.3327259985984583,661,0.0963161716120085,0.40066507596675716,0.5492839090143218,0.013741395321789768
0.0,0.1,2023,0,7867,430385,2600,0.3304944705732808,713,0.09615059171597634,0.4030116460848625,0.5757692307692308,0.013909900713653842
0.0,1.0,1990,0,2434,43851,861,0.35373870172555466,217,0.07152502087489764,0.3755581213587913,,0.014809718871677134
0.0,1.0,1991,0,1664,15338,730,0.4387019230769231,156,0.05490335897917059,0.3611797462319449,0.678082191780822,0.011085445672787825
0.0,1.0,1992,0,2392,39561,875,0.3658026755852843,234,0.05967020408163265,0.3826779502569113,0.7451428571428571,0.01383427820883497
0.0,1.0,1993,0,2437,38124,916,0.3758719737382027,225,0.06440332945596002,0.37351694806308766,0.6670305676855894,0.012843862376215608
0.0,1.0,1994,0,2642,46871,901,0.34102952308856926,230,0.0767293955045633,0.3810287031760881,0.6603773584905661,0.013434855526073583
0.0,1.0,1995,0,2658,41287,895,0.336719337848006,247,0.07664554789176367,0.3771336161591458,0.6536312849162011,0.011692214979073407
0.0,1.0,1996,0,2660,35193,932,0.35037593984962406,233,0.08222890456630258,0.36104576946816497,0.6888412017167382,0.009951448761052688
0.0,1.0,1997,0,2785,44960,1030,0.36983842010771995,272,0.08836836648128947,0.34731423188299176,0.7194174757281553,0.011597432881404898
0.0,1.0,1998,0,4393,126324,1515,0.34486683359890735,499,0.06639044102430045,0.40830201177798214,0.7537953795379538,0.01309460281446265
0.0,1.0,1999,0,4660,138929,1569,0.3366952789699571,564,0.06301220955243013,0.4141192713117518,0.6188655194391333,0.012798064017495328
0.0,1.0,2000,0,4773,148599,1678,0.35156086318877017,553,0.05737433604055001,0.415803581269012,0.6191895113230036,0.01304830240092136
0.0,1.0,2001,0,4686,142828,1592,0.33973538198890313,555,0.06418635261735817,0.4131521424934199,0.5804020100502513,0.013011622986520397
0.0,1.0,2002,0,4798,140577,1740,0.3626511046269279,547,0.0702972651605232,0.4057348302845864,0.6160919540229886,0.012215585970910853
0.0,1.0,2003,0,4886,136538,1679,0.3436348751534998,567,0.0707847101195052,0.4015189647233389,0.5991661703394877,0.011441039948282458
0.0,1.0,2004,0,5191,159913,1852,0.3567713350028896,622,0.06712316146457746,0.40759871723785707,0.6182505399568035,0.011871220717345012
0.0,1.0,2005,0,5330,163850,1899,0.35628517823639777,612,0.06728493503273944,0.4068709670591939,0.5955766192733017,0.011537282109255984
0.0,1.0,2006,0,5376,162408,1920,0.35714285714285715,667,0.07653049045138895,0.40276338783153437,0.5932291666666667,0.011240863787375415
0.0,1.0,2007,0,6124,242939,2077,0.339157413455258,660,0.09236104720314126,0.3947828845606272,0.6239768897448243,0.01295769620664469
