min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t,density
0.0005,0.01,1996,0,1462,130032,652,0.44596443228454175,72,0.29526421769731653,0.2531470911056977,0.25920245398773,0.12175383500422757
0.0005,0.01,1997,0,1467,133125,676,0.4608043626448534,82,0.24659938377507787,0.2467408329336972,0.25591715976331364,0.12380139327134196
0.0005,0.01,1998,0,1464,139733,682,0.46584699453551914,76,0.2437930530353196,0.2427331278157423,0.25513196480938416,0.13047988824520318
0.0005,0.01,1999,0,1465,149732,620,0.4232081911262799,68,0.2699947970863683,0.2420605222470405,0.23709677419354835,0.13962587888621572
0.0005,0.01,2000,0,1465,163955,644,0.4395904436860068,59,0.25199645075421473,0.23106285981134916,0.2639751552795031,0.15288890132229246
0.0005,0.01,2001,0,1466,172382,598,0.40791268758526605,55,0.2796333374347043,0.23225476086320127,0.19732441471571904,0.16052782291671516
0.0005,0.01,2002,0,1466,249100,666,0.4542974079126876,86,0.2551650749848947,0.2631159535952765,0.36036036036036034,0.23197016329172274
0.0005,0.01,2003,0,1466,233597,649,0.4427012278308322,74,0.24355355281682617,0.2401860664849067,0.25115562403698,0.21753325666180873
0.0005,0.01,2004,0,1466,237110,612,0.417462482946794,76,0.2540369088811997,0.22956148571253837,0.24019607843137258,0.22080467851505572
0.0005,0.01,2005,0,1466,260095,633,0.43178717598908595,71,0.25945059634779094,0.23406600468520794,0.23854660347551337,0.24220907114155207
0.0005,0.01,2006,0,1467,278386,587,0.4001363326516701,61,0.28510690166555896,0.23481139896841585,0.20783645655877347,0.2588888237914427
0.0005,0.01,2007,0,1467,285591,596,0.40627130197682343,65,0.2755788027566326,0.22904883491022418,0.2768456375838926,0.265589210935255
0.0005,0.01,2008,0,1467,298886,573,0.39059304703476483,61,0.27208379399931165,0.23083673642229618,0.21640488656195467,0.2779530759008324
0.0005,0.01,2009,0,1467,313332,616,0.41990456714383095,58,0.2535419126328217,0.2256876577592464,0.2857142857142857,0.2913873288750882
0.0005,0.01,2010,0,1467,326845,601,0.4096796182685753,55,0.24254362529450355,0.2226699852813304,0.2312811980033278,0.30395392588748743
0.0005,0.01,2011,0,1467,334631,565,0.38513974096796183,54,0.27250685253347956,0.2291153091744587,0.2053097345132744,0.3111946218349854
0.0005,0.01,2012,0,1467,340518,602,0.4103612815269257,46,0.19427489762806147,0.1952188448487238,0.25249169435215946,0.31666931706269164
0.0005,0.01,2013,0,1467,346624,614,0.4185412406271302,51,0.23384863499877978,0.22253704380018932,0.2996742671009772,0.3223476743007372
0.0005,0.01,2014,0,1467,351386,584,0.39809134287661896,47,0.23637760367798838,0.20620689085765398,0.24486301369863017,0.3267761605712208
0.0005,0.01,2015,0,1467,349633,583,0.39740967961826856,51,0.2607233538007997,0.22645973133505565,0.22984562607204118,0.3251459345249886
