min_share,max_share,year,run,V_t,E_t,n_core,R_t,S_t,H_t,Q_cp,C_t
0.0,1.0,2007,1,17059,1247769,5400,0.3165484494987983,1625,0.060172908093278465,0.43220115441529383,0.5068518518518519
0.0,1.0,2008,1,17229,1318524,5423,0.31475999767833307,1621,0.06045085830905301,0.43245314686229824,0.502120597455283
0.0,1.0,2009,1,17423,1400948,5587,0.32066808241978995,1587,0.05795899344309381,0.43311672715029265,0.5058170753534992
0.0,1.0,2010,1,17478,1484113,5482,0.3136514475340428,1568,0.06075869540072841,0.43316409938682027,0.48066399124407155
0.0,1.0,2011,1,17612,1535196,5599,0.31790824437883264,1660,0.05807651144297352,0.43322741545752663,0.48776567244150737
0.0,1.0,2012,1,17767,1567243,5689,0.32020037147520686,1745,0.05885998522897818,0.4332262551152534,0.4904201089822464
0.0,1.0,2013,1,17813,1594207,5750,0.3227979565485881,1671,0.05804703213610586,0.4336175034900488,0.487304347826087
0.0,1.0,2014,1,17768,1613834,5624,0.3165240882485367,1630,0.05984360867568173,0.4335731441382814,0.47741820768136556
0.0,1.0,2015,1,17773,1610502,5869,0.33021999662409274,1677,0.05733975230947534,0.43349642104910446,0.4869654114840688
0.0,1.0,2016,1,17782,1600252,5745,0.3230795186143291,1761,0.05907812522487105,0.4342817319310844,0.47919930374238473
0.0,1.0,2017,1,17775,1645430,5714,0.3214627285513361,1732,0.05795356271138725,0.43507905758112386,0.4767238361918096
0.0,1.0,2018,1,17944,1738169,5835,0.3251783325902809,1750,0.055408891620389034,0.43671838561207227,0.486375321336761
0.0,1.0,2019,1,18065,1825458,6008,0.33257680597841127,1818,0.051280715814333674,0.43864896165554557,0.4868508655126498
0.0,1.0,2020,1,18242,1921388,5888,0.32277162591821074,1699,0.05347360419866494,0.43973370233674963,0.46229619565217395
0.0,1.0,2021,1,18118,1983661,5853,0.3230489016447732,1810,0.052567212148401835,0.44097914421699874,0.4807790876473603
0.0,1.0,2022,1,18090,1954473,5808,0.32106135986733003,1730,0.053846361814994435,0.44194808861518065,0.47882231404958675
0.0,1.0,2023,1,18159,2009733,5919,0.3259540723608128,1786,0.05061068126413802,0.4429578175787127,0.4825139381652306
0.0,1.0,1990,2,12593,397239,3411,0.270864766139919,1111,0.09461129989623479,0.4117559473534258,
0.0,1.0,1991,2,12657,417466,3567,0.28182033657264755,1139,0.08586033280651242,0.41326888394137296,0.5884496776002243
0.0,1.0,1992,2,12986,445814,3694,0.28446018789465577,1223,0.08406453169350261,0.4152591222293163,0.5828370330265296
0.0,1.0,1993,2,13079,461959,3812,0.29145959171190455,1352,0.08062764187538332,0.4150959030731031,0.5608604407135362
0.0,1.0,1994,2,13207,483525,3815,0.2888619671386386,1211,0.08370401034751074,0.41510890218858726,0.563302752293578
0.0,1.0,1995,2,13617,503236,3829,0.28119262686347946,1215,0.08623969826292333,0.41564650294773886,0.5617654740141029
